Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:10:9B,Emulex Corporation,FALSE,MA-L,11/17/2015
00:10:9C,"MG Co., Ltd.",FALSE,MA-L,1/26/2024
00:10:9D,"CLARINET SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:9E,"AWARE, INC.",FALSE,MA-L,11/17/2015
00:10:9F,"PAVO, INC.",FALSE,MA-L,11/17/2015
00:10:A0,"INNOVEX TECHNOLOGIES, INC.",FALSE,MA-L,11/17/2015
00:10:A1,"KENDIN SEMICONDUCTOR, INC.",FALSE,MA-L,11/17/2015
00:10:A2,TNS,FALSE,MA-L,11/17/2015
00:10:A3,"OMNITRONIX, INC.",FALSE,MA-L,11/17/2015
00:10:A4,XIRCOM,FALSE,MA-L,11/17/2015
00:10:A5,OXFORD INSTRUMENTS,FALSE,MA-L,11/17/2015
00:10:A6,"Cisco Systems, Inc",FALSE,MA-L,11/17/2015
00:10:A7,UNEX TECHNOLOGY CORPORATION,FALSE,MA-L,11/17/2015
00:10:A8,RELIANCE COMPUTER CORP.,FALSE,MA-L,11/17/2015
00:10:A9,ADHOC TECHNOLOGIES,FALSE,MA-L,11/17/2015
00:10:AA,"MEDIA4, INC.",FALSE,MA-L,11/17/2015
00:10:AB,"KOITO ELECTRIC INDUSTRIES, LTD.",FALSE,MA-L,11/17/2015
00:10:AC,IMCI TECHNOLOGIES,FALSE,MA-L,11/17/2015
00:10:AD,"SOFTRONICS USB, INC.",FALSE,MA-L,11/17/2015
00:10:AE,SHINKO ELECTRIC INDUSTRIES CO.,FALSE,MA-L,11/17/2015
00:10:B0,MERIDIAN TECHNOLOGY CORP.,FALSE,MA-L,11/17/2015
00:10:B1,"FOR-A CO., LTD.",FALSE,MA-L,11/17/2015
00:10:B2,COACTIVE AESTHETICS,FALSE,MA-L,11/17/2015
00:10:B3,NOKIA MULTIMEDIA TERMINALS,FALSE,MA-L,11/17/2015
00:10:B4,ATMOSPHERE NETWORKS,FALSE,MA-L,11/17/2015
00:10:B5,Accton Technology Corp,FALSE,MA-L,7/2/2019
00:10:B6,ENTRATA COMMUNICATIONS CORP.,FALSE,MA-L,11/17/2015
00:10:B7,"COYOTE TECHNOLOGIES, LLC",FALSE,MA-L,11/17/2015
00:10:B8,ISHIGAKI COMPUTER SYSTEM CO.,FALSE,MA-L,11/17/2015
00:10:B9,MAXTOR CORP.,FALSE,MA-L,11/17/2015
00:10:BA,"MARTINHO-DAVIS SYSTEMS, INC.",FALSE,MA-L,11/17/2015
00:10:BB,DATA & INFORMATION TECHNOLOGY,FALSE,MA-L,11/17/2015
00:10:BC,Aastra Telecom,FALSE,MA-L,11/17/2015
00:10:BD,THE TELECOMMUNICATION TECHNOLOGY COMMITTEE (TTC),FALSE,MA-L,11/17/2015
00:10:BE,MARCH NETWORKS CORPORATION,FALSE,MA-L,11/17/2015
00:10:BF,InterAir Wireless,FALSE,MA-L,11/17/2015
00:10:C0,"ARMA, Inc.",FALSE,MA-L,11/17/2015
00:10:C1,"OI ELECTRIC CO.,LTD",FALSE,MA-L,4/6/2016
00:10:C2,"WILLNET, INC.",FALSE,MA-L,11/17/2015
00:10:C3,CSI-CONTROL SYSTEMS,FALSE,MA-L,11/17/2015
00:10:C4,"MEDIA GLOBAL LINKS CO., LTD.",FALSE,MA-L,11/17/2015
00:10:C5,"PROTOCOL TECHNOLOGIES, INC.",FALSE,MA-L,11/17/2015
00:10:C6,"Universal Global Scientific Industrial Co., Ltd.",FALSE,MA-L,11/17/2015
00:10:C7,DATA TRANSMISSION NETWORK,FALSE,MA-L,11/17/2015
00:10:C8,COMMUNICATIONS ELECTRONICS SECURITY GROUP,FALSE,MA-L,11/17/2015
00:10:C9,MITSUBISHI ELECTRONICS LOGISTIC SUPPORT CO.,FALSE,MA-L,11/17/2015
00:10:CA,"Telco Systems, Inc.",FALSE,MA-L,11/17/2015
00:10:CB,FACIT K.K.,FALSE,MA-L,11/17/2015
00:10:CC,CLP COMPUTER LOGISTIK PLANUNG GmbH,FALSE,MA-L,11/17/2015
00:10:CD,INTERFACE CONCEPT,FALSE,MA-L,11/17/2015
00:10:CE,"VOLAMP, LTD.",FALSE,MA-L,11/17/2015
00:10:CF,FIBERLANE COMMUNICATIONS,FALSE,MA-L,11/17/2015
00:10:D0,"WITCOM, LTD.",FALSE,MA-L,11/17/2015
00:10:D1,"Top Layer Networks, Inc.",FALSE,MA-L,11/17/2015
00:10:D2,"NITTO TSUSHINKI CO., LTD",FALSE,MA-L,11/17/2015
00:10:D3,GRIPS ELECTRONIC GMBH,FALSE,MA-L,11/17/2015
